id,value
id_0,25.604471
id_1,64.353146
id_2,17.401445
id_3,30.109351
id_4,9.746986
id_5,31.302694
id_6,42.311066
id_7,16.904911
id_8,49.457185
id_9,30.408322
id_10,38.745719
id_11,57.493170
id_12,37.474786
id_13,38.314401
id_14,25.649431
id_15,16.746931
id_16,51.834424
id_17,24.495902
id_18,15.799981
id_19,16.072464
id_20,13.935311
id_21,29.302285
id_22,40.623256
id_23,10.812074
id_24,65.418319
id_25,45.033198
id_26,29.280533
id_27,8.774605
id_28,28.506094
id_29,35.782110
id_30,17.989834
id_31,12.524229
id_32,17.536694
id_33,19.674514
id_34,16.462211
id_35,46.136503
id_36,21.893257
id_37,27.246672
id_38,8.652877
id_39,58.702563
id_40,46.225260
id_41,23.214207
id_42,52.923186
id_43,18.596292
id_44,44.150402
id_45,47.020585
id_46,56.834746
id_47,40.141413
id_48,56.454160
id_49,39.460818
id_50,29.908141
id_51,21.905623
id_52,42.672652
id_53,23.475733
id_54,36.415273
id_55,38.992362
id_56,24.822761
id_57,22.747983
id_58,35.510578
id_59,30.884562
id_60,12.755903
id_61,18.930675
id_62,30.139723
id_63,52.541169
id_64,50.665870
id_65,28.911868
id_66,38.817948
id_67,50.432645
id_68,32.077032
id_69,41.450674
id_70,64.060618
id_71,56.348048
id_72,41.064597
id_73,15.324247
id_74,14.551914
id_75,37.341230
id_76,61.436759
id_77,3.058847
id_78,43.821783
id_79,41.889602
id_80,9.057438
id_81,20.931439
id_82,7.773605
id_83,32.748917
id_84,11.951932
id_85,7.169693
id_86,16.437571
id_87,10.896576
id_88,18.194324
id_89,23.937276
id_90,34.559445
id_91,12.651826
id_92,12.836192
id_93,11.439830
id_94,36.340839
id_95,16.767438
id_96,16.430353
id_97,10.251319
id_98,10.379900
id_99,4.663476
id_100,12.364979
id_101,16.174865
id_102,11.675120
id_103,8.015310
id_104,13.294803
id_105,34.901333
id_106,23.495480
id_107,9.723395
id_108,16.224500
id_109,14.933547
id_110,12.976554
id_111,15.296358
id_112,15.978001
id_113,22.961912
id_114,17.048453
id_115,16.706048
id_116,7.056732
id_117,41.183950
id_118,26.919230
id_119,2.737416
id_120,5.031817
id_121,13.698135
id_122,13.213731
id_123,11.376868
id_124,7.081104
id_125,24.974655
id_126,22.281686
id_127,8.116585
id_128,17.953387
id_129,9.545797
id_130,1.338613
id_131,33.988643
id_132,16.055632
id_133,19.222759
id_134,24.941175
id_135,23.980450
id_136,10.792899
id_137,23.216290
id_138,82.359631
id_139,61.350591
id_140,27.467491
id_141,17.026681
id_142,24.480252
id_143,7.596663
id_144,13.777494
id_145,10.795084
id_146,20.981918
id_147,6.770726
id_148,13.704505
id_149,15.440822
id_150,44.501860
id_151,19.740395
id_152,22.581667
id_153,12.458506
id_154,14.685626
id_155,23.417143
id_156,20.607322
id_157,36.667649
id_158,4.097581
id_159,20.703047
id_160,38.672403
id_161,19.524672
id_162,61.438619
id_163,16.852638
id_164,34.358708
id_165,24.478492
id_166,22.860119
id_167,1.239548
id_168,71.767130
id_169,13.848459
id_170,15.954833
id_171,72.533615
id_172,18.842637
id_173,3.257327
id_174,23.498290
id_175,0.737742
id_176,9.985718
id_177,19.602493
id_178,20.367693
id_179,25.097659
id_180,42.305617
id_181,33.777140
id_182,29.393150
id_183,12.520893
id_184,7.831925
id_185,42.079404
id_186,35.495820
id_187,36.340892
id_188,17.162949
id_189,24.832476
id_190,16.735868
id_191,15.626222
id_192,30.409539
id_193,69.658708
id_194,27.764678
id_195,12.180893
id_196,60.943270
id_197,17.655616
id_198,21.548253
id_199,19.831969
id_200,140.522504
id_201,24.512938
id_202,60.624499
id_203,8.841595
id_204,58.696406
id_205,33.187740
id_206,15.618163
id_207,17.322042
id_208,63.019379
id_209,15.193780
id_210,44.482111
id_211,68.726788
id_212,19.576204
id_213,127.212196
id_214,40.984823
id_215,78.251328
id_216,94.502908
id_217,73.919023
id_218,26.580384
id_219,23.240985
id_220,32.230238
id_221,44.934079
id_222,27.398523
id_223,38.428024
id_224,46.711334
id_225,9.089064
id_226,6.792539
id_227,84.937948
id_228,28.910335
id_229,0.249447
id_230,39.919519
id_231,17.760631
id_232,20.440543
id_233,8.803994
id_234,18.672255
id_235,29.295268
id_236,13.629787
id_237,7.257449
id_238,22.771044
id_239,13.669888
