id,value
id_0,24.843903
id_1,65.066955
id_2,17.521025
id_3,29.671310
id_4,10.695843
id_5,30.805068
id_6,41.535543
id_7,15.963057
id_8,49.922430
id_9,30.813022
id_10,38.308369
id_11,57.758589
id_12,37.655316
id_13,37.317489
id_14,24.580601
id_15,16.267750
id_16,51.016192
id_17,24.700692
id_18,16.516883
id_19,18.198009
id_20,13.567960
id_21,28.349978
id_22,40.238353
id_23,10.817903
id_24,65.813582
id_25,44.019934
id_26,29.921163
id_27,8.160565
id_28,28.029839
id_29,34.948276
id_30,17.797515
id_31,11.273600
id_32,16.527581
id_33,19.680959
id_34,15.272605
id_35,45.713361
id_36,20.852818
id_37,26.918499
id_38,8.111677
id_39,58.257039
id_40,47.168875
id_41,22.112062
id_42,52.366201
id_43,17.250451
id_44,44.136523
id_45,45.827340
id_46,56.340320
id_47,39.502243
id_48,55.793391
id_49,40.946715
id_50,28.792382
id_51,21.801179
id_52,42.141665
id_53,23.646785
id_54,36.304222
id_55,38.805767
id_56,24.034793
id_57,21.511451
id_58,34.592245
id_59,30.194541
id_60,12.901230
id_61,18.423495
id_62,29.285682
id_63,52.907307
id_64,49.454875
id_65,27.393811
id_66,39.762860
id_67,50.110681
id_68,31.434193
id_69,40.965267
id_70,64.336295
id_71,56.546330
id_72,41.856649
id_73,15.451590
id_74,14.231190
id_75,37.955429
id_76,61.498249
id_77,3.222620
id_78,44.769217
id_79,42.440898
id_80,7.786809
id_81,19.699119
id_82,6.326223
id_83,33.065879
id_84,11.284447
id_85,5.334109
id_86,15.824918
id_87,9.359306
id_88,16.621356
id_89,21.969952
id_90,35.554006
id_91,11.606142
id_92,12.235002
id_93,10.583383
id_94,35.615100
id_95,15.188669
id_96,15.824776
id_97,9.323904
id_98,8.839718
id_99,2.701426
id_100,12.150945
id_101,15.555322
id_102,11.145035
id_103,6.891116
id_104,13.385430
id_105,34.764826
id_106,22.255973
id_107,8.557077
id_108,15.419565
id_109,14.086552
id_110,12.917835
id_111,15.557901
id_112,15.364676
id_113,23.139042
id_114,16.670144
id_115,16.085446
id_116,6.005708
id_117,41.192997
id_118,28.173969
id_119,1.625477
id_120,8.017931
id_121,15.601059
id_122,13.836349
id_123,11.113238
id_124,7.147683
id_125,24.294436
id_126,21.726325
id_127,7.919878
id_128,18.019329
id_129,12.279416
id_130,2.433069
id_131,33.473665
id_132,16.347007
id_133,18.496019
id_134,23.962325
id_135,24.182605
id_136,10.309528
id_137,22.152224
id_138,83.889282
id_139,61.679450
id_140,26.678802
id_141,18.626156
id_142,24.290919
id_143,7.739752
id_144,13.828997
id_145,9.983424
id_146,21.668371
id_147,6.465360
id_148,13.619154
id_149,15.922445
id_150,45.922650
id_151,20.303517
id_152,22.741627
id_153,11.625306
id_154,14.003847
id_155,23.743485
id_156,20.168353
id_157,36.384320
id_158,3.555916
id_159,21.133728
id_160,38.766575
id_161,19.108551
id_162,61.972609
id_163,16.625118
id_164,34.620317
id_165,24.129682
id_166,24.424906
id_167,1.893199
id_168,73.135872
id_169,14.088136
id_170,15.997015
id_171,73.760740
id_172,19.070948
id_173,2.547599
id_174,23.921143
id_175,1.489113
id_176,8.754925
id_177,20.618585
id_178,21.225899
id_179,24.372712
id_180,41.549699
id_181,33.383568
id_182,29.052642
id_183,12.105320
id_184,8.004413
id_185,40.969634
id_186,35.190600
id_187,35.763991
id_188,17.192268
id_189,24.292929
id_190,16.068236
id_191,15.589121
id_192,30.452331
id_193,72.083762
id_194,27.409229
id_195,11.819363
id_196,61.387061
id_197,17.813772
id_198,21.657216
id_199,20.491559
id_200,142.188563
id_201,24.622865
id_202,61.199633
id_203,8.014427
id_204,59.208270
id_205,33.365720
id_206,15.408796
id_207,17.218390
id_208,62.976218
id_209,14.480216
id_210,44.920361
id_211,69.593242
id_212,19.066744
id_213,134.510580
id_214,40.810441
id_215,80.939749
id_216,95.669187
id_217,74.405204
id_218,25.530314
id_219,22.733627
id_220,31.493999
id_221,47.179323
id_222,26.245086
id_223,38.344423
id_224,49.104295
id_225,8.448715
id_226,5.851477
id_227,86.122983
id_228,28.744286
id_229,0.578894
id_230,39.428866
id_231,17.319811
id_232,19.874915
id_233,8.444999
id_234,17.485055
id_235,28.701801
id_236,13.350995
id_237,6.346939
id_238,21.235211
id_239,14.022460
